Time (s),Volume (m^3),NH2_X(8),NH_X(9),NHO_X(10),H2O_X(11),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(13)
1.0891407242497511e-15,0.04813658495077032,1.7441231340818617e-11,9.449406463684692e-20,4.89471575801493e-37,9.743509242962187e-37,0.054,5.494135710317493e-46,1.6625456482363528e-10,5.0551072821321596e-26,4.26874179107419e-22,2.897095734550332e-10,0.0,0.0,0.028485863511832618,0.8799999999168728,8.672442801953511e-33,1.0568895417612947e-63,3.08831014710773e-61,0.06599999969284921,4.716451352578147e-84,1.744123152938002e-11
1.448908498969861e-15,0.04813658495077032,2.320246443104089e-11,1.674392865942639e-19,1.4222971732705289e-36,3.5023876095528604e-36,0.054,1.9131981589563532e-45,2.2117220045751282e-10,1.1493172350843192e-25,9.69628705431786e-22,3.854071173929475e-10,0.0,0.0,0.02848586334969497,0.879999999889414,3.1173245435750924e-32,6.33428888142927e-63,1.259731516573716e-60,0.06599999959139043,4.376384852118719e-83,2.3202464764950166e-11
1.808676273689971e-15,0.04813658495077032,2.896369779120965e-11,2.6123786279625993e-19,3.304327832574245e-36,9.793553782984278e-36,0.054,5.1884557940877423e-45,2.7608983546417686e-10,2.1889517782896962e-25,1.845007398717783e-21,4.811046265667989e-10,0.0,0.0,0.02848586318755736,0.8799999998619552,8.716596917371633e-32,2.731926000733639e-62,3.917775961645058e-60,0.0659999994899317,2.8067853981425445e-82,2.8963698311841005e-11
2.5282118231301908e-15,0.04813658495077032,4.0486165320817144e-11,5.116868010511244e-19,1.1990614211357652e-35,4.863468825080041e-35,0.054,2.446196353238171e-44,3.859251035955643e-10,5.8174493120106455e-25,4.894242236843864e-21,6.724995406224016e-10,0.0,0.0,0.02848586286328224,0.8799999998070376,4.328321759575974e-31,2.7810828173156345e-61,2.3553742951265487e-59,0.0659999992870143,5.802564467040778e-81,4.048616633929822e-11
3.2477473725704106e-15,0.04813658495077032,5.20086339284092e-11,8.464719002072553e-19,3.1639711473512324e-35,1.5888030427443522e-34,0.054,7.803236203410773e-44,4.957603692171485e-10,1.2175455630808974e-24,1.022475568134105e-20,8.638943156220324e-10,0.0,0.0,0.028485862539007263,0.87999999975212,1.413870091702072e-30,1.3849492289093304e-60,8.86727267870662e-59,0.06599999908409708,4.063303666949517e-80,5.200863561113188e-11
3.967282922010631e-15,0.04813658495077032,6.353110361268891e-11,1.2662575049317593e-18,6.927332036491334e-35,4.139550543993573e-34,0.054,2.0054994233029596e-43,6.055956323282461e-10,2.209450770520385e-24,1.8520899294332178e-20,1.0552889515658916e-09,0.0,0.0,0.028485862214732423,0.8799999996972023,3.683410615667463e-30,5.167001310683158e-60,2.6256585113578175e-58,0.06599999888117998,2.0767742839605385e-79,6.353110612668963e-11
5.4063540208910705e-15,0.04813658495077032,8.657604620626311e-11,2.363416069268449e-18,2.41678820763304e-34,2.0175926411375417e-33,0.054,9.80980971462198e-43,8.25266151016324e-10,5.590609536616268e-24,4.6672261267032404e-20,1.4380778062870776e-09,0.0,0.0,0.02848586156618316,0.8799999995873671,1.794641983796937e-29,5.27339200858894e-59,1.852884899547074e-57,0.06599999847534618,4.847057009928437e-78,8.657605088643975e-11
6.84542511977151e-15,0.04813658495077032,1.0962099309149267e-10,3.808308997132244e-18,6.227645153788326e-34,6.531573217419677e-33,0.054,3.1861199253800905e-42,1.0449366596545093e-09,1.1382506532371e-23,9.464609463428406e-20,1.8208661047875133e-09,0.0,0.0,0.028485860917634453,0.8799999994775318,5.807616828824603e-29,2.6751509550744647e-58,7.526340669712992e-57,0.06599999806951294,3.6915400634389564e-77,1.096210006134987e-10
8.284496218651949e-15,0.04813658495077032,1.3266594425839561e-10,5.6060494001875e-18,1.3349375295496787e-33,1.6751167626356618e-32,0.054,8.178502861063053e-42,1.26460715823755e-09,2.0247810812469337e-23,1.677030550257826e-19,2.2036538470687436e-09,0.0,0.0,0.028485860269086307,0.8799999993676966,1.4887822709281945e-28,9.819375989902066e-58,2.2924634187133195e-56,0.06599999766368025,1.869562423987567e-76,1.3266595530285214e-10
9.72356731753239e-15,0.04813658495077032,1.5571089969699728e-10,7.761746720568707e-18,2.5314001627937368e-33,3.693677678716287e-32,0.054,1.8029724143137352e-41,1.484277646760201e-09,3.285869192910805e-23,2.7109719301262286e-19,2.5864410331323116e-09,0.0,0.0,0.028485859620538713,0.8799999992578613,3.2810760895431897e-28,2.9416925822723837e-57,5.831620926199823e-56,0.0659999972578481,7.494699412289939e-76,1.5571091494949213e-10
1.2601709515293269e-14,0.04813658495077032,2.0180082334935103e-10,1.3167473593991372e-17,7.19820925255606e-33,1.368568117152348e-31,0.054,6.704140925804789e-41,1.9236185936033466e-09,7.207510660252592e-23,5.899188477167507e-19,3.3520137366126416e-09,0.0,0.0,0.0284858583234452,0.8799999990381908,1.2138389195754301e-27,1.9386960394223e-56,2.864730161626772e-55,0.06599999644618545,9.135104248238592e-75,2.0180084909459558e-10
1.5479851713054148e-14,0.04813658495077032,2.4789076396865726e-10,2.0066415354678072e-17,1.64559252369504e-32,3.8188318180133764e-31,0.054,1.8752125564455044e-40,2.3629595001419873e-09,1.346067842526161e-22,1.09314095329133e-18,4.1175842152408655e-09,0.0,0.0,0.02848585702635392,0.8799999988185203,3.381268248341099e-27,8.119700080297451e-56,9.762482779433692e-55,0.06599999563452505,5.518565285932474e-74,2.478908030087509e-10
2.1236136108575907e-14,0.04813658495077032,3.400706957884126e-10,3.8507711105450756e-17,5.941230969761302e-32,1.9184998926375307e-30,0.054,9.524938682601805e-40,3.2416411921381396e-09,3.529526597314493e-22,2.8206817213184827e-18,5.648718497990459e-09,0.0,0.0,0.02848585443217802,0.8799999983791795,1.6898104071990017e-26,8.377565886642544e-55,7.135598688730124e-54,0.06599999401121082,1.192745012006005e-72,3.40070769984212e-10
2.6992420504097665e-14,0.04813658495077032,4.3225069451688503e-10,6.341314178538795e-17,1.5617643366293793e-31,6.33478716159115e-30,0.054,3.1545866288481555e-39,4.1203227224137434e-09,7.355708535726486e-22,5.78919818134226e-18,7.179843881480021e-09,0.0,0.0,0.02848585183801103,0.8799999979398386,5.547220381416095e-26,4.397384034369661e-54,2.9521589292530702e-53,0.06599999238790541,9.278410789962103e-72,4.3225081555617737e-10
3.2748704899619424e-14,0.04813658495077032,5.244307595146724e-10,9.511022474809322e-17,3.399001049211627e-31,1.652098450085944e-29,0.054,8.21726080920596e-39,4.999004090634564e-09,1.3325723546838088e-21,1.0333491691796522e-17,8.710960365808478e-09,0.0,0.0,0.028485849243852956,0.879999997500498,1.436733842242734e-25,1.666352510882936e-53,9.118449911566327e-53,0.06599999076460883,4.857614530827846e-71,5.24430939405629e-10
3.850498929514118e-14,0.04813658495077032,6.166108901423703e-10,1.3392647580643846e-16,6.527830403661917e-31,3.698883304213552e-29,0.054,1.833777576225996e-38,5.877685296467078e-09,2.196610795302854e-21,1.678764588009371e-17,1.024206795107476e-08,0.0,0.0,0.028485846649703786,0.8799999970611574,3.1907035371319777e-25,5.138499247981038e-53,2.3467068023804223e-52,0.06599998914132107,2.002399057753643e-70,6.166111412142678e-10
4.426127369066294e-14,0.04813658495077032,7.08791085760576e-10,1.8018940682042715e-16,1.1463456843248542e-30,7.430487775105223e-29,0.054,3.667631221461847e-38,6.756366339578484e-09,3.382868893673509e-21,2.548502942898555e-17,1.1773166637377795e-08,0.0,0.0,0.028485844055563526,0.8799999966218169,6.350153877205428e-25,1.3666149892151732e-52,5.314057627092872e-52,0.06599998751804215,6.892767971129414e-70,7.087914206645117e-10
